anio,region,indice,valor,error_estandar
2015,Araucanía,FGT0_incidencia,38.44899012895777,0.9938901016189099
2017,Araucanía,FGT0_incidencia,34.785872039992896,0.9848129529494001
2020,Araucanía,FGT0_incidencia,39.86748620303892,1.1054099942380002
2022,Araucanía,FGT0_incidencia,31.970247169706422,0.8854296039470003
2024,Araucanía,FGT0_incidencia,28.5905542605342,0.809534659989514
2009,Los Ríos,FGT0_incidencia,53.06555521413583,4.710688361300801
2011,Los Ríos,FGT0_incidencia,44.77561190853168,2.0801289471422004
2013,Los Ríos,FGT0_incidencia,37.23876406655026,1.3825730013338529
2015,Los Ríos,FGT0_incidencia,29.075584253660615,1.6522359842597762
2017,Los Ríos,FGT0_incidencia,29.468135720545884,1.3649540782139378
2020,Los Ríos,FGT0_incidencia,33.18946850393701,1.3281486782963825
2022,Los Ríos,FGT0_incidencia,20.809791465401993,0.8015627053295665
2024,Los Ríos,FGT0_incidencia,22.270071119761027,0.9368342797292734
2009,Los Lagos,FGT0_incidencia,45.77456018013286,1.93536913803821
2011,Los Lagos,FGT0_incidencia,41.36487595327734,2.1019520056577368
2013,Los Lagos,FGT0_incidencia,34.21348660528211,1.4331391296697122
2015,Los Lagos,FGT0_incidencia,30.188026421556636,1.021742041881286
2017,Los Lagos,FGT0_incidencia,28.10138129493105,1.4896492928069
2020,Los Lagos,FGT0_incidencia,29.446740506222866,1.1922450208942625
2022,Los Lagos,FGT0_incidencia,21.442392688466587,0.8866517962364382
2024,Los Lagos,FGT0_incidencia,16.476998413683702,0.7235484923958165
2009,Aysén,FGT0_incidencia,37.80334749038626,2.3027595286917526
2011,Aysén,FGT0_incidencia,29.137083829799803,1.7475672760786851
2013,Aysén,FGT0_incidencia,19.95963438064003,1.095890101037892
2015,Aysén,FGT0_incidencia,20.410181566793728,1.639039647168086
2017,Aysén,FGT0_incidencia,14.842063401886149,1.2811287509787732
2020,Aysén,FGT0_incidencia,23.96148581325834,1.629565181960002
2022,Aysén,FGT0_incidencia,14.94487999481659,1.0936861479048836
2024,Aysén,FGT0_incidencia,14.333744772572354,1.1239762099940316
2009,Magallanes,FGT0_incidencia,24.317357682729696,4.104129331188163
2011,Magallanes,FGT0_incidencia,21.22799806131401,1.3037526710763254
2013,Magallanes,FGT0_incidencia,17.82461477176019,1.691822001142072
2015,Magallanes,FGT0_incidencia,14.549368695105533,1.0613500981563584
2017,Magallanes,FGT0_incidencia,12.255673600260227,0.9029824053496185
2020,Magallanes,FGT0_incidencia,20.055568599827815,1.3280172894206113
2022,Magallanes,FGT0_incidencia,14.706708913073427,1.35945551078352
2024,Magallanes,FGT0_incidencia,9.94029281060007,0.7693812417380463
2009,Total país,FGT0_incidencia,37.69647269561061,0.49591280569983004
2011,Total país,FGT0_incidencia,35.429805993884585,0.5780741136217853
2013,Total país,FGT0_incidencia,27.6268935735847,0.40249854235884636
2015,Total país,FGT0_incidencia,24.504439518764563,0.3139671611331125
2017,Total país,FGT0_incidencia,22.514691774208874,0.33284100782710185
2020,Total país,FGT0_incidencia,28.295457948915782,0.38589061291573157
2022,Total país,FGT0_incidencia,20.492147410743243,0.23719039904781616
2024,Total país,FGT0_incidencia,17.28876684745239,0.20086847473155428
2009,Arica y Parinacota,FGT1_brecha,10.552420988626036,1.2240828349530315
2011,Arica y Parinacota,FGT1_brecha,13.456955784989452,1.0443224578121695
2013,Arica y Parinacota,FGT1_brecha,11.156494477796363,0.7219728546463928
2015,Arica y Parinacota,FGT1_brecha,7.9926096516793415,0.7992644018733335
2017,Arica y Parinacota,FGT1_brecha,8.367792403064463,0.5462458156654917
2020,Arica y Parinacota,FGT1_brecha,13.450535399723229,0.7225250451664572
2022,Arica y Parinacota,FGT1_brecha,8.639999626605324,0.5205102108289781
2024,Arica y Parinacota,FGT1_brecha,7.512333560781554,0.5667452181462155
2009,Tarapacá,FGT1_brecha,14.323322519484838,1.2192946353524607
2011,Tarapacá,FGT1_brecha,10.691851016697129,0.7307532699001927
2013,Tarapacá,FGT1_brecha,6.972616503314066,0.5268439852127952
2015,Tarapacá,FGT1_brecha,7.005583717991984,0.6285678408105694
2017,Tarapacá,FGT1_brecha,6.944738187622408,0.39339019609337267
2020,Tarapacá,FGT1_brecha,13.25155672595389,0.7937848007562245
